
INSERT INTO tarjetacredito (tc_num,tc_fvenc,tc_codseg,tc_ncompl,tc_marca,cn_id) VALUES
(379551479744380,'31-01-2027',700,'Óscar Gonzalo Molins Peinado','DINERS CLUB',43),
(3500058980536327,'18-10-2022',927,'Sebastian Iborra Bauzà','VISA',44),
(5326089697744596,'07-06-2019',161,'Juan Luis Cisneros Castro','AMERICAN EXPRESS',45),
(4698175618013,'29-06-2019',937,'Julio Haro Blanco','AMERICAN EXPRESS',46),
(4174287727975307,'05-05-2021',658,'Miguel Isern Cuadrado','VISA',47),
(4506632596955402,'03-08-2022',988,'Alfonso Araujo Santana','DINERS CLUB',48),
(4455508756680967,'27-06-2028',302,'Ines de Montenegro','MASTERCARD',49),
(676311350273,'31-10-2024',274,'Aurora Lopez Cobos','AMERICAN EXPRESS',50),
(30552995911892,'25-01-2020',926,'Ruben Fonseca Fernández','AMERICAN EXPRESS',51),
(3502123963047342,'19-11-2025',303,'Andrés Madrigal Valentín','MASTERCARD',52),
(6011166883323019,'07-10-2019',155,'Cristian Téllez Nicolás','AMERICAN EXPRESS',53),
(3565341882663155,'06-12-2027',3786,'Celia Cámara Vilanova','AMERICAN EXPRESS',54),
(4528599570236337,'06-03-2023',192,'Cristian Dueñas Puerta','DINERS CLUB',55),
(4942423069027099,'18-04-2026',063,'Raul Bilbao Abad','DINERS CLUB',56),
(340182605794788,'27-05-2019',951,'Marc Farré-Alvarez','DINERS CLUB',57),
(4303434750350388,'30-12-2018',185,'Cristian Alberdi','MASTERCARD',58),
(4615069645373,'29-07-2018',369,'María Villalba Noriega','VISA',59),
(3527366997938520,'24-07-2018',205,'Encarnacion Macías-González','DINERS CLUB',60),
(371197683009877,'02-03-2022',217,'Fátima Feliu Gárate','VISA',61),
(4960530701409,'14-05-2022',1326,'Marina Blanes-Coello','VISA',62),
(3546879095740702,'19-02-2024',658,'Pilar Vargas Verdugo','MASTERCARD',63),
(213183479270875,'26-11-2019',774,'Sebastian Buendía Ortuño','VISA',64),
(376613044719611,'18-12-2025',660,'Ana Cabanillas Alberto','VISA',65),
(30301024575785,'27-06-2025',095,'Óscar Llopis Torrens','VISA',66),
(4088029164790152,'15-05-2024',9041,'Felipe Mohamed Lillo Nuñez','DINERS CLUB',67),
(4078633748134,'07-01-2022',7015,'Margarita Garay-Hervás','VISA',68),
(3508323417225916,'26-06-2020',632,'Marc Arjona Botella','DINERS CLUB',69),
(3570018068504162,'23-03-2027',628,'Santiago Sans-Blazquez','MASTERCARD',70),
(38835092965685,'05-10-2027',048,'Tomás Ismael Pont Anaya','DINERS CLUB',71),
(4926184235409302,'04-07-2020',713,'Gloria Macías Arana','DINERS CLUB',72),
(6587342218926743,'11-03-2021',9649,'Guillermo Miguel Ángel Molins Tur','MASTERCARD',73),
(377284768965209,'14-08-2022',888,'Jose Miguel Calvet Talavera','MASTERCARD',74),
(4646933171395,'03-02-2024',758,'Luís Flores-Abad','VISA',75),
(3516911359920286,'18-06-2021',701,'Alberto Castells Ribes','VISA',76),
(6513701557728045,'04-10-2027',475,'Gloria Borja Carrera','AMERICAN EXPRESS',77),
(3565965456598023,'11-10-2018',703,'Ricardo Botella Tomé','DINERS CLUB',78),
(639047325787,'26-01-2025',895,'Julian Miró Castañeda','MASTERCARD',79),
(180009877450562,'30-07-2025',700,'Esperanza de Pintor','AMERICAN EXPRESS',80),
(3566777114447579,'29-10-2018',865,'Miguel Lorenzo Muñoz Huerta','AMERICAN EXPRESS',81),
(3513936896610507,'28-04-2023',292,'Gloria Ródenas','MASTERCARD',82);
